sql_id,nlp_f_name,nlp_l_name,sql_dob,sql_street,sql_postcode,sql_city
1,Sven,Man,24,Brilslang 5,6057BQ,Urk
2,Rick,Klein,25,Morenhoen 182,0228ZO,Woensdrecht
3,Stan,Boven,17,Zijdespin 69,9213YN,Westervoort
4,Sander,Gent,20,Klapperrat 198,1972RJ,Eindhoven
5,Thomas,Vossen,16,Goudhaas 93,4934BQ,Ermelo
6,Thomas,Bol,9,Tweestippenwants 13,7368MB,Bunschoten
7,Nathan,Linders,2,Blauwtongskink 122,7032OD,Rucphen
8,Ezra,Coolen,11,Keizerboa 89,5192KZ,Eemsmond
9,Jamie,Wassink,31,Chipmunk 172,4066RG,Ermelo
10,Mitchel,Otter,4,Steenvis 95,0017XM,Oldenzaal
11,Jonne,Verkerk,28,Tureluur 142,9473UJ,Alblasserdam
12,Nathan,Linders,7,Alpenhond 68,7606SH,Amersfoort
13,Bastiaan,Verburg,31,Adjak 115,3536WL,Hardenberg
14,Brian,Zanden,24,Emoe 24,5698PH,Krimpenerwaard
15,Job,Verheul,26,Parelskink 58,7010MB,Kerkrade
16,Brian,Aalst,12,Goudborstglansspreeuw 183,5038QF,Haaren
17,Robbert,Kloosterman,31,Brilslang 25,7011SH,Rucphen
18,Daan,Wever,26,Agoeti 116,1367WL,Doesburg
19,Merijn,Nijhof,3,Steppenwever 178,7999CR,Rheden
20,Stan,Zwiers,3,Keizerboa 84,9573OD,Bunnik
21,Gijs,Veldkamp,11,Arrauschildpad 142,2723JY,Zeewolde
22,Duncan,Bleeker,2,Trompetzwaan 181,1794UJ,Hillegom
23,Bas,Vogels,26,Secretarisvogel 200,5030UJ,Rotterdam
24,Erik,Kock,14,Bongo 29,4757PE,Weert
25,Maarten,Nijboer,22,Zwartmaskerwever 7,8908PE,Goes
26,Sander,Langen,22,Harlekijnvis 24,1033QF,Breda
27,Michael,Ooms,9,Witpluimoeistitie 165,1255IX,Hulst
28,Daan,Oosterhout,16,Stekelstaartvaraan 60,1036WL,Rijswijk
29,Jasper,Witteveen,27,Kathaai 46,4398ZO,Amersfoort
30,Tim,Veenendaal,9,Manenduif 117,7471AP,Zuidhorn
31,Bastiaan,Nijkamp,24,Juweelwesp 105,3947MB,Leiden
32,Bas,Vogels,12,Geelbuikvuurpad 101,5934OD,Weststellingwerf
33,Timon,Kremer,17,Bergeend 49,6398VK,Goirle
34,Bastiaan,Nijkamp,30,Zebravis 60,3201CR,Sint Anthonis
35,Joey,Westerhof,31,Maraboe 182,1567CR,'s-Hertogenbosch
36,Lars,Zuidema,25,Wimpelaal 123,2687BQ,Molenwaard
37,Giovanni,Laarhoven,11,Rozenkever 8,1163IX,Bladel
38,Misha,Man,16,Uilaap 185,9914LD,Wijdemeren
39,Peter,Zanden,17,Kariboe 169,2173NC,De Wolden
40,Mitchel,Otter,30,Pijlgifkikker 129,0006VK,Wijk bij Duurstede
41,Maarten,Coolen,30,Sikkeleend 142,8999LA,Schagen
42,Fynn,Deursen,17,Pincetvis 32,0485FU,Mill en Sint Hubert
43,Fynn,Bol,31,Watoessirund 116,0340TI,Wijk bij Duurstede
44,Corrado,Klok,21,Penseelzwijn 146,2331DS,IJsselstein
45,Amir,Wijnands,1,Roodrugpelikaan 182,6234RG,Reusel-De Mierden
46,Melle,Wassink,25,Goudparkiet 10,7595KZ,Ermelo
47,Bart,Oosting,21,Grootoorvos 35,2259TI,De Fryske Marren
48,Tijn,Zuidema,26,Roodhandtamarin 110,5257CR,Hilvarenbeek
49,Oussama,Zandbergen,15,Palmroller 42,8411FU,Beuningen
50,Bas,Wolff,29,Coati 12,5903OD,Kapelle
51,Henry,Werff,21,Manenrob 98,1255ET,Woerden
52,Bas,Vogels,22,Margay 83,5524MB,Giessenlanden
53,Corrado,Klok,7,Bonobo 41,2161VK,Nijmegen
54,Julian,Oever,7,Alpaca 38,2907PE,Raalte
55,Tom,Wind,5,Dwergbuffel 172,6769HW,Neder-Betuwe
56,Stijn,Kooten,31,Heremietkreeft 176,0733HW,Waadhoeke
57,Tom,Wind,17,Aspisadder 139,6431FU,Hoogeveen
58,Evan,Kleef,10,Ever 73,8541KC,Haaren
59,Leon,Zwan,13,Maraboe 129,8729NC,Heerde
60,Calvin,Broeders,22,Reuzengoerami 181,6225RG,Lelystad
61,Leon,Zwan,10,Pipa 131,8093VK,Deventer
62,Ole,Maassen,13,Muskusos 174,6682HW,Zaltbommel
63,Calvin,Altena,27,Koningscheetah 183,6015RG,Haren
64,Job,Witteveen,16,Uilmeerkat 104,7495ET,Lopik
65,Max,Alberts,9,Alpensteenbok 30,0804RG,Gemert-Bakel
66,Luuk,Bloem,18,Gepard 99,3824YN,Nunspeet
67,Peter,Bont,30,Melkkikker 126,2244VK,Beverwijk
68,Ralph,Kock,31,Schijfzalm 4,7840WL,Veere
69,Duncan,Bleeker,25,Zeekoet 134,1665KZ,Son en Breugel
70,Merijn,Nijhof,14,Muskusos 58,7153MB,Noord-Beveland
71,Leon,Aalst,21,Garibaldi 161,8210IA,Sittard-Geleen
72,Luuk,Bloem,6,Amethistspreeuw 141,3633CR,Duiven
73,Wouter,Verstappen,29,Roodsnavelkitta 85,7655GV,Eemnes
74,Joost,Wever,15,Woestijnvos 159,4341FU,Asten
75,Stijn,Kooten,4,Steppenwever 135,0852TI,Stein
76,Bas,Vogels,4,Aardbeikoraal 76,5050BT,Vlissingen
77,Daniel,Troost,9,Sporenschildpad 4,8281BQ,Midden-Drenthe
78,Jelle,Braam,22,Zonneral 139,6339LA,Zaltbommel
79,Ted,Oorschot,18,Helmparelhoen 40,4257XM,Breda
80,Mitchel,Weert,2,Tambaqui 48,0542FU,Twenterand
81,Ted,Oorschot,17,Lampongaap 18,4070TI,Oudewater
82,Henk,Nijman,27,Grietjebie 89,1093UJ,Dronten
83,Leon,Aalst,15,Goudvis 7,8482LA,Weesp
84,Timon,Bakker,25,Schroefhoorngeit 91,6581EW,Bloemendaal
85,Tom,Wind,4,Tupinambis 55,6966DS,Eersel
86,Issam,Wind,3,Roestpootuil 9,9937QF,Den Helder
87,Dylan,Diepen,2,Chital 43,0885ME,Borne
88,Daniel,Troost,27,Dikhoornschaap 128,8922JY,Schagen
89,Gijs,Krol,5,Doeroecoeli 34,2896ZO,Terneuzen
90,Abel,Zwiers,3,Zoetwaternaald 49,6115FU,Neder-Betuwe
91,Misha,Man,26,Schroefhoorngeit 159,9138ZR,Steenwijkerland
92,Misha,Oosting,23,Veelvraat 13,9207MB,Vught
93,Issam,Wind,19,Roodkopvaraan 179,9051OD,Oldebroek
94,Ted,Oorschot,17,Scholekster 35,4369TI,Krimpen aan den IJssel
95,Dylan,Veltman,13,Oryx 85,0543ZO,Binnenmaas
96,Evan,Gerritsen,30,Kuifhoenderkoet 12,8122RG,Beuningen
97,Leroy,Uden,4,Jezushagedis 111,0710KC,Beek
98,Fynn,Deursen,11,Harlekijnvis 170,0515NC,Lingewaard
99,Lorenzo,Veltman,10,Coati 136,3483MB,Schouwen-Duiveland
100,Tim,Cremers,24,Nijlkrokodil 189,4285NC,Uitgeest
101,Corrado,Klijn,25,Purperglansspreeuw 181,2664PE,Almelo
102,Bas,Wolff,8,Kapgier 75,5184GV,Weesp
103,Nathan,Linders,11,Zwartkopibis 57,7650UJ,Eemnes
104,Nathan,Linders,3,Koningscheetah 51,7102DV,Goeree-Overflakkee
105,Dirk,Evers,30,Woestijnvos 170,8761RG,Barneveld
106,Nathan,Linders,29,Raaf 146,7528IX,Wierden
107,Stijn,Bloem,11,Pincetvis 128,0471DS,Stein
108,Leon,Zwan,31,Purperkoet 133,8532DS,Horst aan de Maas
109,Peter,Bont,18,Atlasvlinder 144,2137XM,Gouda
110,Fynn,Bol,17,Zijdespin 41,0650PE,Bunschoten
111,Mitchel,Otter,26,Breedlipneushoorn 89,0477OG,Bunschoten
112,Giovanni,Laarhoven,30,Roodschoudertaling 197,1178QF,Hulst
113,Ruben,Deursen,31,Okerzeester 157,3974WL,Nunspeet
114,Dirk,Olde,1,Dwergnijlpaard 102,8543LA,Zwartewaterland
115,Ruben,Deursen,11,Bontbekplevier 196,3052YN,Duiven
116,Jimmy,Akkerman,2,Ocelot 44,5068UJ,Brunssum
117,Bram,Buuren,16,Kalkoengier 65,9600OD,Zwijndrecht
118,Stefan,Klein,3,Ree 158,3826QF,Maastricht
119,Marc,Vegt,17,Rotscavia 136,5361ET,Voorst
120,Jasper,Ooms,30,Boskalkoen 189,4765FU,Coevorden
121,Matthijs,Koolen,6,Groenvleugelduif 35,5976KZ,Wijchen
122,Giovanni,Verstappen,13,Stekelvarken 96,4890BQ,Delfzijl
123,Lars,Hoog,23,Boomskink 107,9518OD,Arnhem
124,Jimmy,Nauta,27,Korenslang 181,5604RJ,Veendam
125,Issam,Veldkamp,18,Bosfazant 200,9697OD,Kollumerland en Nieuwkruisland
126,Jeroen,Bouwhuis,16,Defassa-waterbok 36,9194DV,Oldebroek
127,Bjorn,Nijssen,7,Drieteenmeeuw 196,2613FU,Vlissingen
128,Bart,Oosting,19,Brilkaaiman 198,2331DS,Soest
129,Luuk,Wijnands,1,Smaragdduif 39,3114AP,Ooststellingwerf
130,Erik,Langen,23,Dwergratelslang 97,4494PE,Zevenaar
131,Matthijs,Klok,20,Defassa-waterbok 3,5202MB,Enschede
132,Luc,Oever,30,Lelkraanvogel 169,9436ET,Arnhem
133,Ole,Maassen,15,Zwaluwvleugelvlinder 128,6083XM,Werkendam
134,Ruben,Kraan,17,Wasbeerhond 36,3431ET,Berg en Dal
135,Ole,Claassen,27,Goudparkiet 33,6020VK,Ameland
136,Yannick,Oort,11,Koi 80,5128SH,Noordenveld
137,Djonno,Buuren,12,Jezushagedis 94,2028LA,Beverwijk
138,Stijn,Kooten,13,Uilmeerkat 75,0707NC,Nederweert
139,Luc,Weber,13,Sterlet 7,9177KZ,Alblasserdam
140,Leon,Aalst,6,Picolet 194,8142ME,Boekel
141,Nick,Evers,15,Madagaskarleguaan 123,5603AP,Opmeer
142,Dennis,Bleeker,13,Hondskopboa 125,4715AS,Echt-Susteren
143,Marco,Verburg,22,Jacana 183,0905PE,Heusden
144,Robbert,Kloosterman,17,Tamiops 183,7927OD,Stede Broec
145,Evan,Gerritsen,29,Boomskink 21,8669FU,Putten
146,David,Kooi,1,Witkopgier 162,3102KZ,Papendrecht
147,Jasper,Ooms,2,Madagaskarleguaan 88,4009DS,Doesburg
148,Giovanni,Laarhoven,28,Paradijsvink 166,4894KC,Hulst
149,Robbert,Kloosterman,26,Lafayettehoen 191,7525XP,Landerd
150,Marc,Kroeze,4,Toepaja 60,5342SH,Wassenaar
151,Lorenzo,Veltman,20,Tamiops 60,3182VN,Waddinxveen
152,Bart,Oudshoorn,13,Witkopgier 182,2748HW,Aalburg
153,Peter,Zanden,31,Waaierduif 16,2225NC,Edam-Volendam
154,Sander,Gent,28,Hertegeitantilope 82,1453ZR,Waalre
155,Brian,Zanden,8,Keizertamarin 89,5856MB,Alphen-Chaam
156,Dirk,Evers,31,Vosmangoest 169,8361IA,Culemborg
157,Stan,Boven,26,Juweelkardinaalbaars 142,9983QF,Beesel
158,Marijn,Gerritsen,18,Pincetvis 195,1745AP,Eindhoven
159,Gijs,Veldkamp,26,Kerkuil 38,2963ZO,Druten
160,Jasper,Ooms,3,Zandmuis 178,4641NC,Nijkerk
161,Dirk,Olde,29,Kluut 56,8423ZO,Horst aan de Maas
162,Amir,Bouwhuis,14,Reuzengoerami 177,6930FU,Steenwijkerland
163,Aaron,Krol,4,Oeraluil 197,5255TL,Oosterhout
164,Marijn,Oorschot,12,Jaguar 191,1803MB,Son en Breugel
165,Wouter,Brugman,5,Koningsgier 6,7813OD,Hendrik-Ido-Ambacht
166,Stan,Zwiers,16,Withandgibbon 100,9627AP,Pijnacker-Nootdorp
167,Issam,Wind,2,Koningsparkiet 172,9628SH,Goirle
168,Lars,Hoog,29,Netgiraffe 85,2783DS,Capelle aan den IJssel
169,Jeroen,Delft,15,Oryx 196,9912KZ,Beesel
170,Joost,Wever,6,Pardelkat 14,4094LA,Nijkerk
171,Daan,Oosterhout,20,Woestijnleguaan 136,1783MB,De Bilt
172,Sven,Weide,14,Celebesbaviaan 160,6906FU,Leiden
173,Henk,Nijman,12,Luipaardmurene 111,1580KZ,Zederik
174,Maarten,Nijboer,16,Pikkewijn 120,8269JY,De Bilt
175,Marc,Vegt,10,Uilenkopmeerkat 148,5028MB,Steenbergen
176,Marijn,Gerritsen,21,Manenduif 36,1429IX,Heerde
177,Michael,Ooms,9,Sjabrakjakhals 105,1576KZ,'s-Hertogenbosch
178,Ted,Smit,7,Kameel 19,4276VK,Hellendoorn
179,Dennis,Bleeker,4,Sprinkhaan 111,4052NC,Moerdijk
180,Tim,Veenendaal,18,Wasbeerhond 67,7316YN,Uitgeest
181,Ruben,Kraan,22,Everzwijn 31,3692CR,Leiden
182,Oussama,Oort,3,Piranha 131,8929DS,Achtkarspelen
183,Michael,Nijboer,25,Velduil 169,1174KZ,Dronten
184,Misha,Man,6,Juweelwesp 126,9217ZR,Urk
185,Ole,Claassen,16,Kleurmuis 160,6216JY,Laarbeek
186,Henry,Werff,29,Inyala 110,1707AP,Renkum
